source,target,type,stage,weight
PROC_193,수능,REQUIRES,1,100.0
PROC_194,수능,REQUIRES,1,100.0
PROC_195,수능,REQUIRES,1,100.0
PROC_196,수능,REQUIRES,1,100.0
PROC_197,수능,REQUIRES,1,100.0
PROC_198,수능,REQUIRES,1,100.0
PROC_199,수능,REQUIRES,1,100.0
PROC_200,수능,REQUIRES,1,100.0
PROC_201,수능,REQUIRES,1,100.0
PROC_202,수능,REQUIRES,1,100.0
PROC_203,수능,REQUIRES,1,100.0
PROC_204,수능,REQUIRES,1,40.0
PROC_204,실기,REQUIRES,1,60.0
PROC_205,수능,REQUIRES,1,40.0
PROC_205,실기,REQUIRES,1,60.0
PROC_206,수능,REQUIRES,1,40.0
PROC_206,실기,REQUIRES,1,60.0
PROC_207,수능,REQUIRES,1,100.0
PROC_208,수능,REQUIRES,1,100.0
PROC_209,수능,REQUIRES,1,100.0
PROC_210,수능,REQUIRES,1,100.0
PROC_211,수능,REQUIRES,1,100.0
PROC_212,수능,REQUIRES,1,100.0
PROC_213,수능,REQUIRES,1,100.0
PROC_214,수능,REQUIRES,1,100.0
PROC_215,수능,REQUIRES,1,100.0
PROC_216,수능,REQUIRES,1,100.0
PROC_217,수능,REQUIRES,1,100.0
PROC_218,수능,REQUIRES,1,100.0
PROC_219,수능,REQUIRES,1,100.0
PROC_220,수능,REQUIRES,1,100.0
PROC_221,수능,REQUIRES,1,100.0
PROC_222,수능,REQUIRES,1,100.0
PROC_223,수능,REQUIRES,1,100.0
PROC_224,수능,REQUIRES,1,100.0
PROC_225,수능,REQUIRES,1,100.0
PROC_226,수능,REQUIRES,1,100.0
PROC_227,수능,REQUIRES,1,100.0
PROC_228,수능,REQUIRES,1,100.0
PROC_229,수능,REQUIRES,1,100.0
PROC_230,수능,REQUIRES,1,100.0
PROC_231,수능,REQUIRES,1,100.0
PROC_232,수능,REQUIRES,1,100.0
PROC_233,수능,REQUIRES,1,100.0
PROC_234,수능,REQUIRES,1,100.0
PROC_235,수능,REQUIRES,1,100.0
PROC_236,수능,REQUIRES,1,100.0
PROC_237,수능,REQUIRES,1,100.0
PROC_238,수능,REQUIRES,1,100.0
PROC_239,수능,REQUIRES,1,100.0
PROC_240,수능,REQUIRES,1,100.0
PROC_241,수능,REQUIRES,1,100.0
PROC_242,수능,REQUIRES,1,60.0
PROC_242,실기,REQUIRES,1,40.0
PROC_243,수능,REQUIRES,1,60.0
PROC_243,실기,REQUIRES,1,40.0
PROC_244,수능,REQUIRES,1,60.0
PROC_244,실기,REQUIRES,1,40.0
PROC_245,수능,REQUIRES,1,60.0
PROC_245,실기,REQUIRES,1,40.0
PROC_246,수능,REQUIRES,1,60.0
PROC_246,실기,REQUIRES,1,40.0
PROC_247,수능,REQUIRES,1,60.0
PROC_247,실기,REQUIRES,1,40.0
PROC_248,수능,REQUIRES,1,60.0
PROC_248,실기,REQUIRES,1,40.0
PROC_249,수능,REQUIRES,1,60.0
PROC_249,실기,REQUIRES,1,40.0
PROC_250,수능,REQUIRES,1,60.0
PROC_250,실기,REQUIRES,1,40.0
PROC_251,수능,REQUIRES,1,60.0
PROC_251,실기,REQUIRES,1,40.0
PROC_252,수능,REQUIRES,1,60.0
PROC_252,실기,REQUIRES,1,40.0
PROC_253,수능,REQUIRES,1,60.0
PROC_253,실기,REQUIRES,1,40.0
PROC_254,수능,REQUIRES,1,100.0
PROC_255,수능,REQUIRES,1,100.0
PROC_256,수능,REQUIRES,1,100.0
PROC_257,수능,REQUIRES,1,100.0
PROC_258,수능,REQUIRES,1,100.0
PROC_259,수능,REQUIRES,1,100.0
PROC_260,수능,REQUIRES,1,100.0
PROC_261,수능,REQUIRES,1,100.0
PROC_262,수능,REQUIRES,1,100.0
PROC_263,수능,REQUIRES,1,100.0
PROC_264,수능,REQUIRES,1,40.0
PROC_264,실기,REQUIRES,1,60.0
PROC_265,수능,REQUIRES,1,40.0
PROC_265,실기,REQUIRES,1,60.0
PROC_266,수능,REQUIRES,1,30.0
PROC_266,실기,REQUIRES,1,70.0
PROC_267,수능,REQUIRES,1,40.0
PROC_267,실기,REQUIRES,1,60.0
PROC_268,수능,REQUIRES,1,100.0
PROC_269,수능,REQUIRES,1,100.0
PROC_270,수능,REQUIRES,1,100.0
PROC_271,수능,REQUIRES,1,100.0
PROC_272,수능,REQUIRES,1,100.0
PROC_273,수능,REQUIRES,1,100.0
PROC_274,수능,REQUIRES,1,100.0
PROC_275,수능,REQUIRES,1,100.0
PROC_276,수능,REQUIRES,1,100.0
PROC_277,수능,REQUIRES,1,100.0
PROC_278,수능,REQUIRES,1,100.0
PROC_279,수능,REQUIRES,1,100.0
PROC_280,수능,REQUIRES,1,100.0
PROC_281,수능,REQUIRES,1,100.0
PROC_282,수능,REQUIRES,1,100.0
PROC_283,수능,REQUIRES,1,100.0
PROC_284,수능,REQUIRES,1,100.0
PROC_285,수능,REQUIRES,1,100.0
PROC_286,수능,REQUIRES,1,100.0
PROC_287,수능,REQUIRES,1,100.0
PROC_288,수능,REQUIRES,1,100.0
PROC_289,수능,REQUIRES,1,100.0
PROC_290,수능,REQUIRES,1,100.0
PROC_291,수능,REQUIRES,1,100.0
PROC_292,수능,REQUIRES,1,100.0
PROC_293,수능,REQUIRES,1,100.0
PROC_294,수능,REQUIRES,1,100.0
PROC_295,수능,REQUIRES,1,100.0
PROC_296,수능,REQUIRES,1,100.0
PROC_297,수능,REQUIRES,1,100.0
