"id","name","region","type_ext","foundation","gender_limit"
"A143","한국체육대","서울","1","1","1"
"C131","한국항공대","경기","1","3","0"
"N115","한국해양대","부산","1","1","0"
"E111","한남대","대전","1","3","0"
"L122","한동대","경북","1","3","0"
"D109","한라대","강원","1","3","0"
"D110","한림대","강원","1","3","0"
"E112","한밭대","대전","1","1","0"
"F121","한서대","충남","1","3","0"
"F128","한서대(태안)","충남","1","3","0"
"A144","한성대","서울","1","3","0"
"C133","한세대","경기","1","3","0"
"C134","한신대","경기","1","3","0"
"A145","한양대","서울","1","3","0"
"A145","한양대","서울","1","3","1"
"A145","한양대","서울","1","3","2"
"C135","한양대(ERICA)","경기","1","3","0"
"J110","한일장신대","전북","1","3","0"
"C136","협성대","경기","1","3","0"
"H108","호남대","광주","1","3","0"
"H109","호남신학대","광주","1","3","0"
"F122","호서대(아산)","충남","1","3","0"
"F123","호서대(천안)","충남","1","3","0"
"F123","호서대(천안)","충남","1","3","1"
"J111","호원대","전북","3","3","0"
"A147","홍익대","서울","1","3","0"
"Q102","홍익대(세종)","세종","1","3","0"
"F108","금강대","충남","1","3","0"
"C112","서울장신대","경기","1","3","0"
"E107","충남대","대전","1","1","2"
"A143","한국체육대","서울","1","1","2"
"C135","한양대(ERICA)","경기","1","3","1"
"C135","한양대(ERICA)","경기","1","3","2"
"E103","목원대","대전","1","3","0"
"A122","서울대","서울","1","1","1"
"I113","한국에너지공과대","전남","4","1","0"
"O102","울산과학기술원","울산","4","1","0"
"F123","호서대(천안)","충남","1","3","2"
"C244","한경국립대(평택)","경기","1","1","0"
"A122","서울대","서울","1","1","2"
"F130","호서대(당진)","충남","1","3","0"
"C118","아신대","경기","1","3","0"
"C109","루터대","경기","1","3","0"
"J104","예원예술대(전북)","전북","1","3","0"
"F120","한국기술교대","충남","1","3","0"
"I114","목포대(담양)","전남","1","1","0"
"J113","전북대(고창)","전북","1","1","0"
