source,target,type
PROC_93,C102_음악학과(성악),FOR_MAJOR
PROC_93,다군,IN_PERIOD
D101,강원,LOCATED_IN
D101,PROC_94,OFFERS
PROC_94,D101_경영학과,FOR_MAJOR
PROC_94,다군,IN_PERIOD
D101,PROC_95,OFFERS
PROC_95,D101_경제학과,FOR_MAJOR
PROC_95,다군,IN_PERIOD
D101,PROC_96,OFFERS
PROC_96,D101_국어국문학과,FOR_MAJOR
PROC_96,다군,IN_PERIOD
D101,PROC_97,OFFERS
PROC_97,D101_국제통상학과,FOR_MAJOR
PROC_97,다군,IN_PERIOD
D101,PROC_98,OFFERS
PROC_98,D101_도시계획부동산학과,FOR_MAJOR
PROC_98,다군,IN_PERIOD
D101,PROC_99,OFFERS
PROC_99,D101_무역학과,FOR_MAJOR
PROC_99,다군,IN_PERIOD
D101,PROC_100,OFFERS
PROC_100,D101_사학과,FOR_MAJOR
PROC_100,다군,IN_PERIOD
D101,PROC_101,OFFERS
PROC_101,D101_영어영문학과,FOR_MAJOR
PROC_101,다군,IN_PERIOD
D101,PROC_102,OFFERS
PROC_102,D101_일본학과,FOR_MAJOR
PROC_102,다군,IN_PERIOD
D101,PROC_103,OFFERS
PROC_103,D101_자치행정학과,FOR_MAJOR
PROC_103,다군,IN_PERIOD
D101,PROC_104,OFFERS
PROC_104,D101_중어중문학과,FOR_MAJOR
PROC_104,가군,IN_PERIOD
D101,PROC_105,OFFERS
PROC_105,D101_철학과,FOR_MAJOR
PROC_105,다군,IN_PERIOD
D101,PROC_106,OFFERS
PROC_106,D101_회계학과,FOR_MAJOR
PROC_106,나군,IN_PERIOD
D101,PROC_107,OFFERS
PROC_107,D101_대기환경과학과,FOR_MAJOR
PROC_107,다군,IN_PERIOD
D101,PROC_108,OFFERS
PROC_108,D101_신소재생명화학공학부,FOR_MAJOR
PROC_108,다군,IN_PERIOD
D101,PROC_109,OFFERS
PROC_109,D101_생명과학과,FOR_MAJOR
PROC_109,다군,IN_PERIOD
D101,PROC_110,OFFERS
PROC_110,D101_수학물리학부,FOR_MAJOR
PROC_110,다군,IN_PERIOD
D101,PROC_111,OFFERS
PROC_111,D101_식물생명과학과,FOR_MAJOR
PROC_111,다군,IN_PERIOD
