전공분류대,전공분류중,전공분류소,major_id
자연,보건,보건융합,MAJOR_0153
공학,화학생명과학환경,생명과학,MAJOR_0154
사회,사회과학,소비자가정자원,MAJOR_0155
인문,인문학,인문학,MAJOR_0156
자연,보건,임상보건,MAJOR_0157
사회,사회과학,사회과학,MAJOR_0158
공학,교육,교양공학,MAJOR_0159
자연,자연과학,자연과학,MAJOR_0160
자연,약학,약학,MAJOR_0161
교육,교육,중등공학교육,MAJOR_0162
예체능,음악,국악,MAJOR_0163
예체능,응용예술,게임,MAJOR_0164
사회,사회과학,국제지역학,MAJOR_0165
자연,자연,자연과학,MAJOR_0166
인문,사회과학,교양인문학,MAJOR_0167
인문,사회과학,철학윤리학,MAJOR_0168
공학,재료,섬유공학,MAJOR_0169
교육,교육,건설공학교육,MAJOR_0170
교육,전기전자컴퓨터,중등공학교육,MAJOR_0171
자연,생활과학,생활과학,MAJOR_0172
공학,공학,공과대학,MAJOR_0173
공학,자유전공,자유전공,MAJOR_0174
예체능,응용예술,예술학부,MAJOR_0175
공학,생명공학,의생명공학,MAJOR_0176
예체능,미술,조소,MAJOR_0177
자연,화학생명과학환경,수학,MAJOR_0178
인문,경영경제,경영학,MAJOR_0179
공학,공학,융합공학,MAJOR_0180
공학,전기전자컴퓨터,신소재공학,MAJOR_0181
공학,화공고분자에너지,환경공학,MAJOR_0182
공학,화학생명과학환경,생명공학,MAJOR_0183
자연,농림수산,식품영양학,MAJOR_0184
공학,전기전자컴퓨터,기계공학,MAJOR_0185
자연,농림수산,농학,MAJOR_0186
자연,농림수산,생명과학,MAJOR_0187
자연,농림수산,지역공학,MAJOR_0188
자연,농림수산,재료과학,MAJOR_0189
공학,화공고분자에너지,식품영양학,MAJOR_0190
자연,화학생명과학환경,응용화학,MAJOR_0191
공학,산업안전,에너지공학,MAJOR_0192
사회,사화과학,사회과학,MAJOR_0193
예체능,응용미술,응용미술,MAJOR_0194
사회,사회과학,관광학,MAJOR_0195
인문,문화예술,영상예술,MAJOR_0196
공학,전기전자컴퓨터,인공지능공학,MAJOR_0197
의학,약학,약학과,MAJOR_0198
인문,사회과학,국제학,MAJOR_0199
의학,의예과,의예과,MAJOR_0200
예체능,체육,체육,MAJOR_0201
사회,수학물리천문지구,통계학,MAJOR_0202
공학,전기전자컴퓨터,인공지능학,MAJOR_0203
인문,인문사회학,문화산업,MAJOR_0204
인문,인문사회학,인문학,MAJOR_0205
예체능,예체능,문화산업,MAJOR_0206
사회,사회과학,문화예술,MAJOR_0207
사회,보건,보건관리,MAJOR_0208
자연,수학물리천문지구,자연과학,MAJOR_0209
예체능,응용예술,응용예술,MAJOR_0210
인문,경영경제,관광학,MAJOR_0211
인문,보건,보건관리,MAJOR_0212
공학,토목도시,토목공학,MAJOR_0213
자연,생물화학환경,생명과학,MAJOR_0214
공학,화공고분자에너지,응용화학,MAJOR_0215
예체능,응용예술,디자인,MAJOR_0216
사회,사회과학,경영학,MAJOR_0217
인문,언어문학,한국어학,MAJOR_0218
자연,화학생명과학환경,바이오테크놀로지학,MAJOR_0219
예체능,체육,무용체육,MAJOR_0220
교육,교육,유아교육,MAJOR_0221
자연,수학물리천문지구,수학물리학,MAJOR_0222
